"lon","lat","latlon"
-95.25,41.75,"lat41.75lon-95.25"
-92.25,41.75,"lat41.75lon-92.25"
-89.25,41.75,"lat41.75lon-89.25"
-86.25,41.75,"lat41.75lon-86.25"
-83.25,41.75,"lat41.75lon-83.25"
-80.25,41.75,"lat41.75lon-80.25"
-77.25,41.75,"lat41.75lon-77.25"
-74.25,41.75,"lat41.75lon-74.25"
-72.25,41.75,"lat41.75lon-72.25"
-99.25,42.75,"lat42.75lon-99.25"
-96.25,42.75,"lat42.75lon-96.25"
-94.25,42.75,"lat42.75lon-94.25"
-93.25,42.75,"lat42.75lon-93.25"
-91.25,42.75,"lat42.75lon-91.25"
-90.25,42.75,"lat42.75lon-90.25"
-88.25,42.75,"lat42.75lon-88.25"
-85.25,42.75,"lat42.75lon-85.25"
-84.25,42.75,"lat42.75lon-84.25"
-79.25,42.75,"lat42.75lon-79.25"
-78.25,42.75,"lat42.75lon-78.25"
-76.25,42.75,"lat42.75lon-76.25"
-75.25,42.75,"lat42.75lon-75.25"
-73.25,42.75,"lat42.75lon-73.25"
-98.25,43.75,"lat43.75lon-98.25"
-97.25,43.75,"lat43.75lon-97.25"
-95.25,43.75,"lat43.75lon-95.25"
-92.25,43.75,"lat43.75lon-92.25"
-89.25,43.75,"lat43.75lon-89.25"
-86.25,43.75,"lat43.75lon-86.25"
-83.25,43.75,"lat43.75lon-83.25"
-80.25,43.75,"lat43.75lon-80.25"
-74.25,43.75,"lat43.75lon-74.25"
-72.25,43.75,"lat43.75lon-72.25"
-71.25,43.75,"lat43.75lon-71.25"
-98.25,44.75,"lat44.75lon-98.25"
-97.25,44.75,"lat44.75lon-97.25"
-95.25,44.75,"lat44.75lon-95.25"
-92.25,44.75,"lat44.75lon-92.25"
-89.25,44.75,"lat44.75lon-89.25"
-77.25,44.75,"lat44.75lon-77.25"
-74.25,44.75,"lat44.75lon-74.25"
-72.25,44.75,"lat44.75lon-72.25"
-71.25,44.75,"lat44.75lon-71.25"
-68.25,44.75,"lat44.75lon-68.25"
